id,nomor_peraturan,judul,jenis_peraturan,tahun,tentang
11,UU No. 23 Tahun 2002,Perlindungan Anak,Undang-Undang,2002,"Perlindungan anak Indonesia dari segala bentuk diskriminasi, eksploitasi, kekerasan, penelantaran, dan perlakuan salah, serta menjamin pemenuhan hak anak atas pendidikan, kesehatan, bermain, dan tumbuh kembang secara optimal sesuai harkat dan martabat kemanusiaan."
12,UU No. 40 Tahun 2004,Sistem Jaminan Sosial Nasional (SJSN),Undang-Undang,2004,"Pembentukan sistem jaminan sosial nasional yang memberikan perlindungan sosial bagi seluruh rakyat Indonesia melalui program jaminan kesehatan, jaminan kecelakaan kerja, jaminan hari tua, jaminan pensiun, dan jaminan kematian yang dikelola BPJS."
13,PP No. 78 Tahun 2015,Pengupahan,Peraturan Pemerintah,2015,"Ketentuan tentang pengupahan tenaga kerja meliputi penetapan upah minimum provinsi dan kabupaten/kota, formula kenaikan upah minimum berdasarkan inflasi dan pertumbuhan ekonomi, komponen upah, tunjangan, dan mekanisme penyelesaian perselisihan upah antara pengusaha dan pekerja."
14,PP No. 44 Tahun 2015,Jaminan Kecelakaan Kerja dan Jaminan Kematian,Peraturan Pemerintah,2015,"Penyelenggaraan program jaminan kecelakaan kerja dan jaminan kematian oleh BPJS Ketenagakerjaan yang memberikan perlindungan bagi pekerja terhadap risiko kecelakaan dalam hubungan kerja termasuk perjalanan dinas, serta santunan kematian bagi ahli waris pekerja peserta."
15,PP No. 46 Tahun 2015,Jaminan Hari Tua,Peraturan Pemerintah,2015,"Penyelenggaraan program jaminan hari tua yang bertujuan menjamin peserta menerima uang tunai pada saat memasuki usia pensiun, mengalami cacat total tetap, atau meninggal dunia, dengan besaran manfaat berdasarkan akumulasi iuran dan hasil pengembangannya."
16,PP No. 82 Tahun 2012,Penyelenggaraan Sistem dan Transaksi Elektronik,Peraturan Pemerintah,2012,"Ketentuan teknis penyelenggaraan sistem dan transaksi elektronik, kewajiban penyelenggara sistem elektronik mendaftarkan sistem kepada pemerintah, lokalisasi data (data center) di wilayah Indonesia, standar keamanan siber, perlindungan data pribadi, dan tata kelola platform digital."
17,PP No. 71 Tahun 2019,Penyelenggaraan Sistem dan Transaksi Elektronik (Revisi),Peraturan Pemerintah,2019,"Pembaruan ketentuan penyelenggaraan sistem elektronik dan transaksi elektronik dengan penekanan pada kewajiban penyelenggara sistem elektronik privat mendaftar, tata cara penanganan konten ilegal, mekanisme pemutusan akses, dan perlindungan data pribadi pengguna layanan digital."
18,Perpres No. 95 Tahun 2018,Sistem Pemerintahan Berbasis Elektronik (SPBE),Peraturan Presiden,2018,"Penerapan sistem pemerintahan berbasis elektronik secara terpadu di lingkungan instansi pemerintah pusat dan daerah dengan tujuan meningkatkan efisiensi, efektivitas, transparansi, dan akuntabilitas pelayanan publik melalui pemanfaatan teknologi informasi dan komunikasi."
19,Perpres No. 39 Tahun 2019,Satu Data Indonesia,Peraturan Presiden,2019,"Penyelenggaraan tata kelola data pemerintah secara terpadu dalam kerangka Satu Data Indonesia yang menjamin ketersediaan data yang akurat, mutakhir, terpadu, dapat dipertanggungjawabkan, mudah diakses, dan dibagipakaikan antar instansi pemerintah untuk mendukung perencanaan pembangunan nasional."
20,Perpres No. 18 Tahun 2020,RPJMN 2020-2024,Peraturan Presiden,2020,"Rencana Pembangunan Jangka Menengah Nasional tahun 2020-2024 yang memuat visi Indonesia Maju, tujuh agenda pembangunan, proyek strategis nasional, target makroekonomi, indikator pembangunan manusia, program pemulihan ekonomi, transformasi digital, dan pembangunan infrastruktur prioritas nasional."
21,Perpres No. 12 Tahun 2021,Pengadaan Barang/Jasa Pemerintah (Revisi),Peraturan Presiden,2021,"Pembaruan ketentuan pengadaan barang dan jasa pemerintah untuk mendorong penggunaan produk dalam negeri, UMKM, dan koperasi, menyederhanakan prosedur tender, mengintegrasikan e-purchasing dan e-procurement, serta mencegah korupsi pengadaan melalui digitalisasi dan transparansi proses."
22,Permen Kominfo No. 5 Tahun 2020,Penyelenggara Sistem Elektronik Privat,Peraturan Menteri,2020,"Kewajiban pendaftaran penyelenggara sistem elektronik lingkup privat termasuk platform media sosial, marketplace, layanan streaming, dan aplikasi digital, serta prosedur koordinasi dengan pemerintah untuk penanganan konten yang melanggar ketentuan peraturan perundang-undangan Indonesia."
23,Permen Kominfo No. 20 Tahun 2016,Perlindungan Data Pribadi dalam Sistem Elektronik,Peraturan Menteri,2016,"Kewajiban penyelenggara sistem elektronik dalam melindungi data pribadi pengguna, mencakup perolehan persetujuan, pembatasan penggunaan, kewajiban kerahasiaan, prosedur pemuktahiran dan penghapusan data, serta mekanisme pengaduan atas penyalahgunaan data pribadi."
24,Permen Naker No. 2 Tahun 2022,Tata Cara dan Persyaratan Pembayaran Manfaat JHT,Peraturan Menteri,2022,"Ketentuan prosedur dan persyaratan pencairan manfaat Jaminan Hari Tua (JHT) BPJS Ketenagakerjaan, termasuk persyaratan usia pensiun 56 tahun, kriteria cacat total tetap, tata cara klaim ahli waris, dan dokumen yang diperlukan untuk pengajuan manfaat JHT."
25,Permen Kesehatan No. 28 Tahun 2014,Pedoman JKN-KIS,Peraturan Menteri,2014,"Pedoman pelaksanaan program Jaminan Kesehatan Nasional-Kartu Indonesia Sehat yang mengatur prosedur pendaftaran peserta, iuran, manfaat pelayanan kesehatan, sistem rujukan berjenjang, ketentuan fasilitas kesehatan tingkat pertama dan lanjutan, serta mekanisme klaim dan pembayaran."
26,Perda DKI Jakarta No. 2 Tahun 2020,Penanggulangan Corona Virus Disease (COVID-19),Peraturan Daerah,2020,"Ketentuan penanggulangan pandemi COVID-19 di wilayah DKI Jakarta meliputi Pembatasan Sosial Berskala Besar (PSBB), kewajiban penggunaan masker di ruang publik, pengaturan kapasitas transportasi umum, sanksi pelanggaran protokol kesehatan, dan mekanisme karantina wilayah."
27,Perda Jawa Timur No. 4 Tahun 2021,Penyelenggaraan Pendidikan,Peraturan Daerah,2021,"Penyelenggaraan sistem pendidikan di Jawa Timur yang mencakup pemerataan akses pendidikan, standar mutu pendidikan daerah, pengelolaan sekolah negeri dan swasta, beasiswa bagi siswa kurang mampu, pendidikan inklusif bagi anak berkebutuhan khusus, dan digitalisasi pembelajaran."
28,Perda Surabaya No. 5 Tahun 2019,Rencana Tata Ruang Wilayah Kota Surabaya,Peraturan Daerah,2019,"Perencanaan tata ruang wilayah Kota Surabaya tahun 2019-2039 yang mengatur zonasi peruntukan lahan untuk kawasan perumahan, perdagangan, industri, ruang terbuka hijau, infrastruktur, kawasan pesisir, dan pengembangan kota pintar (smart city) berbasis teknologi informasi."
29,SE OJK No. 14 Tahun 2021,Restrukturisasi Kredit Dampak COVID-19,Surat Edaran,2021,"Kebijakan restrukturisasi kredit dan pembiayaan perbankan bagi debitur yang terdampak pandemi COVID-19, mencakup perpanjangan masa restrukturisasi, mekanisme pengajuan keringanan cicilan, prosedur penilaian kelayakan debitur, dan ketentuan perlakuan akuntansi bagi bank pelaksana."
30,SE BI No. 23 Tahun 2021,Kebijakan Moneter dan Stabilitas Sistem Keuangan,Surat Edaran,2021,"Arah kebijakan moneter Bank Indonesia dalam menjaga stabilitas nilai rupiah dan mendorong pemulihan ekonomi nasional, mencakup ketentuan suku bunga acuan, rasio kecukupan modal bank, kebijakan makroprudensial, pengembangan sistem pembayaran digital, dan koordinasi kebijakan fiskal-moneter."
31,Kepmen Naker No. 349 Tahun 2019,Jabatan yang Dapat Diduduki Tenaga Kerja Asing,Keputusan Menteri,2019,"Penetapan jabatan dan posisi kerja yang dapat diduduki oleh tenaga kerja asing di Indonesia berdasarkan kebutuhan alih teknologi dan keahlian khusus, prosedur izin mempekerjakan tenaga kerja asing (IMTA), kewajiban pendampingan tenaga kerja lokal, dan jenis pekerjaan yang terlarang bagi asing."
32,UU No. 7 Tahun 2021,Harmonisasi Peraturan Perpajakan (HPP),Undang-Undang,2021,"Reformasi perpajakan nasional melalui perubahan tarif Pajak Penghasilan (PPh) orang pribadi, kenaikan tarif PPN secara bertahap, pemberlakuan pajak karbon, program pengungkapan sukarela (tax amnesty jilid 2), penguatan NIK sebagai NPWP, dan ketentuan pajak ekonomi digital."
33,PP No. 23 Tahun 2018,Pajak Penghasilan UMKM,Peraturan Pemerintah,2018,"Ketentuan pajak penghasilan final dengan tarif 0,5 persen dari omzet bagi wajib pajak yang memiliki peredaran bruto (omzet) tertentu tidak melebihi Rp 4,8 miliar per tahun, meliputi UMKM orang pribadi, badan (kecuali CV/firma), serta jangka waktu pengenaan tarif final tersebut."
34,UU No. 32 Tahun 2009,Perlindungan dan Pengelolaan Lingkungan Hidup,Undang-Undang,2009,"Perlindungan dan pengelolaan lingkungan hidup secara terpadu melalui perencanaan, pemanfaatan, pengendalian, pemeliharaan, pengawasan, dan penegakan hukum lingkungan, termasuk kewajiban Analisis Mengenai Dampak Lingkungan (AMDAL), izin lingkungan, dan sanksi bagi pencemaran atau perusakan lingkungan."
35,UU No. 5 Tahun 1960,Pokok-Pokok Agraria (UUPA),Undang-Undang,1960,"Pengaturan dasar hukum agraria nasional yang mencakup hak-hak atas tanah meliputi hak milik, hak guna usaha, hak guna bangunan, hak pakai, dan hak pengelolaan, asas bahwa bumi, air, dan kekayaan alam dikuasai negara untuk sebesar-besar kemakmuran rakyat."
36,UU No. 17 Tahun 2003,Keuangan Negara,Undang-Undang,2003,"Pengaturan keuangan negara yang mencakup pengelolaan Anggaran Pendapatan dan Belanja Negara (APBN), prinsip transparansi dan akuntabilitas, kewenangan Menteri Keuangan sebagai bendahara umum negara, pertanggungjawaban pelaksanaan APBN, serta audit keuangan oleh Badan Pemeriksa Keuangan (BPK)."
37,UU No. 1 Tahun 2004,Perbendaharaan Negara,Undang-Undang,2004,"Pengaturan perbendaharaan negara meliputi pengelolaan dan pertanggungjawaban keuangan negara, rekening kas umum negara, tata cara pelaksanaan anggaran pendapatan dan belanja, penatausahaan keuangan, penyelesaian kerugian negara, dan sistem akuntansi pemerintahan berbasis akrual."
38,Perpres No. 47 Tahun 2023,Strategi Keamanan Siber Nasional,Peraturan Presiden,2023,"Strategi keamanan siber nasional Indonesia 2023-2028 yang mencakup tata kelola keamanan siber, perlindungan infrastruktur informasi kritis nasional, penanganan insiden siber, pengembangan sumber daya manusia keamanan siber, kerja sama internasional, dan penguatan peran Badan Siber dan Sandi Negara (BSSN)."
39,UU No. 27 Tahun 2022,Perlindungan Data Pribadi (PDP),Undang-Undang,2022,"Perlindungan data pribadi warga negara Indonesia yang mengatur hak subjek data, kewajiban pengendali dan prosesor data pribadi, larangan pemrosesan data sensitif tanpa persetujuan, kewajiban notifikasi kebocoran data, sanksi administratif dan pidana bagi pelanggaran, serta pembentukan lembaga pengawas data pribadi."
40,UU No. 19 Tahun 2016,Perubahan UU ITE,Undang-Undang,2016,"Perubahan UU Informasi dan Transaksi Elektronik yang mempertegas definisi konten yang melanggar kesusilaan, memperjelas unsur pencemaran nama baik di dunia maya, memperkuat perlindungan hak kekayaan intelektual digital, dan menambahkan ketentuan penyadapan yang sah oleh aparat penegak hukum."
41,PP No. 80 Tahun 2019,Perdagangan Melalui Sistem Elektronik (e-Commerce),Peraturan Pemerintah,2019,"Pengaturan perdagangan elektronik (e-commerce) di Indonesia meliputi kewajiban pelaku usaha perdagangan online, perlindungan konsumen digital, ketentuan marketplace dan platform perdagangan elektronik, larangan barang impor ilegal, dan kewajiban pelaku usaha luar negeri yang beroperasi di pasar Indonesia."
